




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	L2-3 IT All DE Genes.txt (Mus musculus)
Reference List:	L2-3 IT All Expressed Genes.txt (Mus musculus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	FISHER
Correction:	FDR
GO biological process complete	L2-3 IT All Expressed Genes.txt - REFLIST (9465)	L2-3 IT All DE Genes.txt (249)	L2-3 IT All DE Genes.txt (expected)	L2-3 IT All DE Genes.txt (over/under)	L2-3 IT All DE Genes.txt (fold Enrichment)	L2-3 IT All DE Genes.txt (raw P-value)	L2-3 IT All DE Genes.txt (FDR)
extraction of mislocalized protein from mitochondrial outer membrane (GO:0140570)	1	1	.03	+	38.01	5.06E-02	1.00E00
positive regulation of CD24 production (GO:2000560)	1	1	.03	+	38.01	5.06E-02	1.00E00
regulation of CD24 production (GO:2000559)	1	1	.03	+	38.01	5.06E-02	1.00E00
glutamate biosynthetic process (GO:0006537)	2	2	.05	+	38.01	3.80E-03	5.93E-01
cell proliferation in midbrain (GO:0033278)	1	1	.03	+	38.01	5.06E-02	1.00E00
positive regulation of cell proliferation by VEGF-activated platelet derived growth factor receptor signaling pathway (GO:0038091)	1	1	.03	+	38.01	5.06E-02	1.00E00
VEGF-activated platelet-derived growth factor receptor signaling pathway (GO:0038086)	1	1	.03	+	38.01	5.06E-02	1.00E00
positive regulation of monocyte extravasation (GO:2000439)	1	1	.03	+	38.01	5.06E-02	1.00E00
negative regulation of monocyte extravasation (GO:2000438)	1	1	.03	+	38.01	5.06E-02	1.00E00
regulation of monocyte extravasation (GO:2000437)	2	2	.05	+	38.01	3.80E-03	5.86E-01
cellular response to non-ionic osmotic stress (GO:0071471)	1	1	.03	+	38.01	5.06E-02	1.00E00
basal protein localization (GO:0045175)	1	1	.03	+	38.01	5.06E-02	1.00E00
trehalose metabolic process (GO:0005991)	1	1	.03	+	38.01	5.06E-02	1.00E00
regulation of protein activation cascade (GO:2000257)	1	1	.03	+	38.01	5.06E-02	1.00E00
positive regulation of platelet-derived growth factor production (GO:0090362)	1	1	.03	+	38.01	5.06E-02	1.00E00
thermosensory behavior (GO:0040040)	1	1	.03	+	38.01	5.06E-02	1.00E00
AMPA selective glutamate receptor signaling pathway (GO:0098990)	1	1	.03	+	38.01	5.06E-02	1.00E00
nuclear mRNA surveillance of mRNA 3'-end processing (GO:0071031)	1	1	.03	+	38.01	5.06E-02	1.00E00
protein-containing complex assembly involved in synapse maturation (GO:0090126)	1	1	.03	+	38.01	5.06E-02	1.00E00
positive regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment (GO:1901297)	1	1	.03	+	38.01	5.06E-02	1.00E00
regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment (GO:1901295)	1	1	.03	+	38.01	5.06E-02	1.00E00
cellular response to glyceraldehyde (GO:1905631)	1	1	.03	+	38.01	5.06E-02	1.00E00
response to glyceraldehyde (GO:1905630)	1	1	.03	+	38.01	5.06E-02	1.00E00
monocyte aggregation (GO:0070487)	1	1	.03	+	38.01	5.06E-02	1.00E00
trehalose metabolism in response to stress (GO:0070413)	1	1	.03	+	38.01	5.06E-02	1.00E00
positive regulation of ERBB3 signaling pathway (GO:1905580)	1	1	.03	+	38.01	5.06E-02	1.00E00
regulation of ERBB3 signaling pathway (GO:1905578)	1	1	.03	+	38.01	5.06E-02	1.00E00
positive regulation of ephrin receptor signaling pathway (GO:1901189)	1	1	.03	+	38.01	5.06E-02	1.00E00
positive regulation of Golgi lumen acidification (GO:1905528)	1	1	.03	+	38.01	5.06E-02	1.00E00
adenylate cyclase-inhibiting opioid receptor signaling pathway (GO:0031635)	1	1	.03	+	38.01	5.06E-02	1.00E00
cell adhesion involved in sprouting angiogenesis (GO:0120078)	1	1	.03	+	38.01	5.06E-02	1.00E00
angiogenic sprout fusion (GO:0120077)	1	1	.03	+	38.01	5.06E-02	1.00E00
polynucleotide 5' dephosphorylation (GO:0098507)	1	1	.03	+	38.01	5.06E-02	1.00E00
pseudopodium retraction (GO:0031270)	1	1	.03	+	38.01	5.06E-02	1.00E00
ATP export (GO:1904669)	1	1	.03	+	38.01	5.06E-02	1.00E00
positive regulation of MDA-5 signaling pathway (GO:1900245)	1	1	.03	+	38.01	5.06E-02	1.00E00
positive regulation of guanyl-nucleotide exchange factor activity (GO:1905099)	1	1	.03	+	38.01	5.06E-02	1.00E00
positive regulation of canonical Wnt signaling pathway involved in heart development (GO:1905068)	1	1	.03	+	38.01	5.06E-02	1.00E00
regulation of canonical Wnt signaling pathway involved in heart development (GO:1905066)	1	1	.03	+	38.01	5.06E-02	1.00E00
positive regulation of free ubiquitin chain polymerization (GO:1904544)	1	1	.03	+	38.01	5.06E-02	1.00E00
regulation of free ubiquitin chain polymerization (GO:1904542)	1	1	.03	+	38.01	5.06E-02	1.00E00
L-ascorbic acid transmembrane transport (GO:0015882)	1	1	.03	+	38.01	5.06E-02	1.00E00
cytosol to endoplasmic reticulum transport (GO:0046967)	1	1	.03	+	38.01	5.06E-02	1.00E00
positive regulation of GTP binding (GO:1904426)	1	1	.03	+	38.01	5.06E-02	1.00E00
negative regulation of receptor clustering (GO:1903910)	1	1	.03	+	38.01	5.06E-02	1.00E00
negative regulation of skeletal muscle acetylcholine-gated channel clustering (GO:1904394)	1	1	.03	+	38.01	5.06E-02	1.00E00
cellular stress response to acid chemical (GO:0097533)	1	1	.03	+	38.01	5.06E-02	1.00E00
stress response to acid chemical (GO:0097532)	1	1	.03	+	38.01	5.06E-02	1.00E00
positive regulation of ATF6-mediated unfolded protein response (GO:1903893)	1	1	.03	+	38.01	5.06E-02	1.00E00
negative regulation of Wnt protein secretion (GO:0061358)	1	1	.03	+	38.01	5.06E-02	1.00E00
sperm entry (GO:0035037)	1	1	.03	+	38.01	5.06E-02	1.00E00
establishment of glial blood-brain barrier (GO:0060857)	1	1	.03	+	38.01	5.06E-02	1.00E00
Notch signaling pathway involved in arterial endothelial cell fate commitment (GO:0060853)	1	1	.03	+	38.01	5.06E-02	1.00E00
endothelial cell fate specification (GO:0060847)	1	1	.03	+	38.01	5.06E-02	1.00E00
blood vessel endothelial cell fate commitment (GO:0060846)	1	1	.03	+	38.01	5.06E-02	1.00E00
arterial endothelial cell fate commitment (GO:0060844)	1	1	.03	+	38.01	5.06E-02	1.00E00
arterial endothelial cell differentiation (GO:0060842)	1	1	.03	+	38.01	5.06E-02	1.00E00
opsonization (GO:0008228)	1	1	.03	+	38.01	5.06E-02	1.00E00
positive regulation of protein kinase D signaling (GO:1903572)	1	1	.03	+	38.01	5.06E-02	1.00E00
regulation of protein kinase D signaling (GO:1903570)	1	1	.03	+	38.01	5.06E-02	1.00E00
calcium ion transport from cytosol to endoplasmic reticulum (GO:1903515)	1	1	.03	+	38.01	5.06E-02	1.00E00
negative regulation of acute inflammatory response to non-antigenic stimulus (GO:0002878)	1	1	.03	+	38.01	5.06E-02	1.00E00
regulation of acute inflammatory response to non-antigenic stimulus (GO:0002877)	1	1	.03	+	38.01	5.06E-02	1.00E00
blood vessel endothelial cell fate specification (GO:0097101)	1	1	.03	+	38.01	5.06E-02	1.00E00
establishment of blood-nerve barrier (GO:0008065)	1	1	.03	+	38.01	5.06E-02	1.00E00
lymphocyte migration into lymph node (GO:0097022)	1	1	.03	+	38.01	5.06E-02	1.00E00
response to non-ionic osmotic stress (GO:0010335)	1	1	.03	+	38.01	5.06E-02	1.00E00
blood vessel lumenization (GO:0072554)	1	1	.03	+	38.01	5.06E-02	1.00E00
coronary vein morphogenesis (GO:0003169)	1	1	.03	+	38.01	5.06E-02	1.00E00
glutamine catabolic process (GO:0006543)	3	2	.08	+	25.34	6.22E-03	6.46E-01
cellular response to interleukin-12 (GO:0071349)	3	2	.08	+	25.34	6.22E-03	6.41E-01
positive regulation of type B pancreatic cell proliferation (GO:1904692)	3	2	.08	+	25.34	6.22E-03	6.36E-01
activation of meiosis involved in egg activation (GO:0060466)	2	1	.05	+	19.01	7.50E-02	1.00E00
negative regulation of lens fiber cell differentiation (GO:1902747)	4	2	.11	+	19.01	9.17E-03	7.57E-01
positive regulation of toll-like receptor 9 signaling pathway (GO:0034165)	2	1	.05	+	19.01	7.50E-02	1.00E00
negative regulation of heterotypic cell-cell adhesion (GO:0034115)	4	2	.11	+	19.01	9.17E-03	7.52E-01
wax metabolic process (GO:0010166)	2	1	.05	+	19.01	7.50E-02	1.00E00
negative regulation of establishment of endothelial barrier (GO:1903141)	2	1	.05	+	19.01	7.50E-02	1.00E00
pyrimidine nucleotide transport (GO:0006864)	2	1	.05	+	19.01	7.50E-02	1.00E00
central nervous system vasculogenesis (GO:0022009)	2	1	.05	+	19.01	7.50E-02	1.00E00
wax biosynthetic process (GO:0010025)	2	1	.05	+	19.01	7.50E-02	1.00E00
medulla oblongata development (GO:0021550)	2	1	.05	+	19.01	7.50E-02	1.00E00
blood vessel maturation (GO:0001955)	2	1	.05	+	19.01	7.50E-02	1.00E00
positive regulation of transcription of Notch receptor target (GO:0007221)	4	2	.11	+	19.01	9.17E-03	7.48E-01
endoplasmic reticulum tubular network formation (GO:0071787)	4	2	.11	+	19.01	9.17E-03	7.43E-01
positive regulation of cardiac muscle myoblast proliferation (GO:0110024)	2	1	.05	+	19.01	7.50E-02	1.00E00
regulation of cardiac muscle myoblast proliferation (GO:0110022)	2	1	.05	+	19.01	7.50E-02	1.00E00
signal complex assembly (GO:0007172)	2	1	.05	+	19.01	7.50E-02	1.00E00
inner ear receptor cell fate commitment (GO:0060120)	2	1	.05	+	19.01	7.50E-02	1.00E00
positive regulation of transforming growth factor beta2 production (GO:0032915)	2	1	.05	+	19.01	7.50E-02	1.00E00
nuclear protein quality control by the ubiquitin-proteasome system (GO:0071630)	2	1	.05	+	19.01	7.50E-02	1.00E00
leukocyte chemotaxis involved in inflammatory response (GO:0002232)	2	1	.05	+	19.01	7.50E-02	1.00E00
putrescine biosynthetic process from ornithine (GO:0033387)	2	1	.05	+	19.01	7.50E-02	1.00E00
S-adenosylmethionine cycle (GO:0033353)	2	1	.05	+	19.01	7.50E-02	1.00E00
extraction of mislocalized protein from membrane (GO:0140568)	2	1	.05	+	19.01	7.50E-02	1.00E00
VEGF-activated neuropilin signaling pathway (GO:0038190)	2	1	.05	+	19.01	7.50E-02	1.00E00
chemokine (C-C motif) ligand 21 signaling pathway (GO:0038116)	2	1	.05	+	19.01	7.50E-02	1.00E00
positive regulation of polyamine transmembrane transport (GO:1902269)	2	1	.05	+	19.01	7.50E-02	1.00E00
negative regulation of intrinsic apoptotic signaling pathway in response to osmotic stress (GO:1902219)	2	1	.05	+	19.01	7.50E-02	1.00E00
regulation of intrinsic apoptotic signaling pathway in response to osmotic stress (GO:1902218)	2	1	.05	+	19.01	7.50E-02	1.00E00
disaccharide metabolic process (GO:0005984)	2	1	.05	+	19.01	7.50E-02	1.00E00
positive regulation of acrosome reaction (GO:2000344)	2	1	.05	+	19.01	7.50E-02	1.00E00
cellular response to interleukin-15 (GO:0071350)	2	1	.05	+	19.01	7.50E-02	1.00E00
activation of meiosis (GO:0090427)	2	1	.05	+	19.01	7.50E-02	1.00E00
retrograde axonal protein transport (GO:0099642)	2	1	.05	+	19.01	7.50E-02	1.00E00
polyamine transmembrane transport (GO:1902047)	2	1	.05	+	19.01	7.50E-02	1.00E00
bone regeneration (GO:1990523)	2	1	.05	+	19.01	7.50E-02	1.00E00
pyrimidine nucleotide import into mitochondrion (GO:1990519)	2	1	.05	+	19.01	7.50E-02	1.00E00
negative regulation of endothelial cell development (GO:1901551)	2	1	.05	+	19.01	7.50E-02	1.00E00
dense core granule maturation (GO:1990502)	2	1	.05	+	19.01	7.50E-02	1.00E00
negative regulation of mRNA modification (GO:0090367)	2	1	.05	+	19.01	7.50E-02	1.00E00
regulation of mRNA modification (GO:0090365)	2	1	.05	+	19.01	7.50E-02	1.00E00
regulation of platelet-derived growth factor production (GO:0090361)	2	1	.05	+	19.01	7.50E-02	1.00E00
positive regulation of endoplasmic reticulum calcium ion concentration (GO:0032470)	2	1	.05	+	19.01	7.50E-02	1.00E00
mitochondrion-endoplasmic reticulum membrane tethering (GO:1990456)	6	3	.16	+	19.01	1.25E-03	4.04E-01
ossification involved in bone remodeling (GO:0043932)	2	1	.05	+	19.01	7.50E-02	1.00E00
negative regulation of glucocorticoid biosynthetic process (GO:0031947)	2	1	.05	+	19.01	7.50E-02	1.00E00
negative regulation of glucocorticoid metabolic process (GO:0031944)	2	1	.05	+	19.01	7.50E-02	1.00E00
positive regulation of somatostatin secretion (GO:0090274)	2	1	.05	+	19.01	7.50E-02	1.00E00
response to interleukin-12 (GO:0070671)	4	2	.11	+	19.01	9.17E-03	7.39E-01
protein localization to nuclear pore (GO:0090204)	2	1	.05	+	19.01	7.50E-02	1.00E00
positive regulation of male gonad development (GO:2000020)	2	1	.05	+	19.01	7.50E-02	1.00E00
prostaglandin secretion (GO:0032310)	2	1	.05	+	19.01	7.50E-02	1.00E00
negative regulation of prostaglandin secretion (GO:0032307)	2	1	.05	+	19.01	7.50E-02	1.00E00
nuclear polyadenylation-dependent CUT catabolic process (GO:0071039)	2	1	.05	+	19.01	7.50E-02	1.00E00
nuclear polyadenylation-dependent snRNA catabolic process (GO:0071037)	2	1	.05	+	19.01	7.50E-02	1.00E00
nuclear polyadenylation-dependent snoRNA catabolic process (GO:0071036)	2	1	.05	+	19.01	7.50E-02	1.00E00
epidermal cell fate specification (GO:0009957)	2	1	.05	+	19.01	7.50E-02	1.00E00
regulation of cell-cell adhesion involved in gastrulation (GO:0070587)	4	2	.11	+	19.01	9.17E-03	7.34E-01
auditory receptor cell fate commitment (GO:0009912)	2	1	.05	+	19.01	7.50E-02	1.00E00
cell-cell adhesion involved in synapse maturation (GO:0090125)	2	1	.05	+	19.01	7.50E-02	1.00E00
negative regulation of synaptic transmission, dopaminergic (GO:0032227)	2	1	.05	+	19.01	7.50E-02	1.00E00
negative regulation of neurotrophin TRK receptor signaling pathway (GO:0051387)	2	1	.05	+	19.01	7.50E-02	1.00E00
notochord morphogenesis (GO:0048570)	2	1	.05	+	19.01	7.50E-02	1.00E00
positive regulation of response to nutrient levels (GO:0032109)	2	1	.05	+	19.01	7.50E-02	1.00E00
positive regulation of response to extracellular stimulus (GO:0032106)	2	1	.05	+	19.01	7.50E-02	1.00E00
positive regulation of appetite (GO:0032100)	2	1	.05	+	19.01	7.50E-02	1.00E00
positive regulation of protein localization to endoplasmic reticulum (GO:1905552)	2	1	.05	+	19.01	7.50E-02	1.00E00
regulation of ephrin receptor signaling pathway (GO:1901187)	2	1	.05	+	19.01	7.50E-02	1.00E00
ncRNA polyadenylation (GO:0043629)	2	1	.05	+	19.01	7.50E-02	1.00E00
cortical microtubule organization (GO:0043622)	2	1	.05	+	19.01	7.50E-02	1.00E00
regulation of Golgi lumen acidification (GO:1905526)	2	1	.05	+	19.01	7.50E-02	1.00E00
positive regulation of response to food (GO:0032097)	2	1	.05	+	19.01	7.50E-02	1.00E00
negative regulation of Fc-gamma receptor signaling pathway involved in phagocytosis (GO:1905450)	2	1	.05	+	19.01	7.50E-02	1.00E00
calcium ion import into sarcoplasmic reticulum (GO:1990036)	2	1	.05	+	19.01	7.50E-02	1.00E00
dorsal aorta morphogenesis (GO:0035912)	2	1	.05	+	19.01	7.50E-02	1.00E00
dorsal aorta development (GO:0035907)	2	1	.05	+	19.01	7.50E-02	1.00E00
detection of virus (GO:0009597)	2	1	.05	+	19.01	7.50E-02	1.00E00
positive regulation of epithelial tube formation (GO:1905278)	2	1	.05	+	19.01	7.50E-02	1.00E00
regulation of epithelial tube formation (GO:1905276)	2	1	.05	+	19.01	7.50E-02	1.00E00
interleukin-15-mediated signaling pathway (GO:0035723)	2	1	.05	+	19.01	7.50E-02	1.00E00
interleukin-12-mediated signaling pathway (GO:0035722)	2	1	.05	+	19.01	7.50E-02	1.00E00
clathrin-coated pit assembly (GO:1905224)	2	1	.05	+	19.01	7.50E-02	1.00E00
negative regulation of secondary metabolite biosynthetic process (GO:1900377)	2	1	.05	+	19.01	7.50E-02	1.00E00
pseudopodium organization (GO:0031268)	2	1	.05	+	19.01	7.50E-02	1.00E00
negative regulation of vascular associated smooth muscle contraction (GO:1904694)	2	1	.05	+	19.01	7.50E-02	1.00E00
negative regulation of melanin biosynthetic process (GO:0048022)	2	1	.05	+	19.01	7.50E-02	1.00E00
positive regulation of RIG-I signaling pathway (GO:1900246)	4	2	.11	+	19.01	9.17E-03	7.30E-01
dendrite regeneration (GO:0031104)	2	1	.05	+	19.01	7.50E-02	1.00E00
membrane bending (GO:0097753)	2	1	.05	+	19.01	7.50E-02	1.00E00
polyamine transport (GO:0015846)	2	1	.05	+	19.01	7.50E-02	1.00E00
positive regulation of peptidyl-tyrosine autophosphorylation (GO:1900086)	4	2	.11	+	19.01	9.17E-03	7.25E-01
regulation of peptidyl-tyrosine autophosphorylation (GO:1900084)	4	2	.11	+	19.01	9.17E-03	7.21E-01
positive regulation of neuromuscular synaptic transmission (GO:1900075)	2	1	.05	+	19.01	7.50E-02	1.00E00
regulation of neuromuscular synaptic transmission (GO:1900073)	2	1	.05	+	19.01	7.50E-02	1.00E00
positive regulation of secretory granule organization (GO:1904411)	2	1	.05	+	19.01	7.50E-02	1.00E00
O-glycan processing, core 1 (GO:0016267)	2	1	.05	+	19.01	7.50E-02	1.00E00
regulation of secretory granule organization (GO:1904409)	2	1	.05	+	19.01	7.50E-02	1.00E00
myo-inositol transport (GO:0015798)	2	1	.05	+	19.01	7.50E-02	1.00E00
negative regulation of neuromuscular junction development (GO:1904397)	2	1	.05	+	19.01	7.50E-02	1.00E00
positive regulation of skeletal muscle acetylcholine-gated channel clustering (GO:1904395)	2	1	.05	+	19.01	7.50E-02	1.00E00
positive regulation of synaptic vesicle priming (GO:0010808)	2	1	.05	+	19.01	7.50E-02	1.00E00
sno(s)RNA catabolic process (GO:0016077)	2	1	.05	+	19.01	7.50E-02	1.00E00
regulation of potassium ion export across plasma membrane (GO:1903764)	2	1	.05	+	19.01	7.50E-02	1.00E00
regulation of voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization (GO:1903760)	2	1	.05	+	19.01	7.50E-02	1.00E00
positive regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061419)	4	2	.11	+	19.01	9.17E-03	7.17E-01
angiogenesis involved in coronary vascular morphogenesis (GO:0060978)	2	1	.05	+	19.01	7.50E-02	1.00E00
cardiac vascular smooth muscle cell development (GO:0060948)	2	1	.05	+	19.01	7.50E-02	1.00E00
cellular response to vasopressin (GO:1904117)	2	1	.05	+	19.01	7.50E-02	1.00E00
response to vasopressin (GO:1904116)	2	1	.05	+	19.01	7.50E-02	1.00E00
regulation of cell adhesion involved in heart morphogenesis (GO:0061344)	2	1	.05	+	19.01	7.50E-02	1.00E00
endothelial cell fate commitment (GO:0060839)	2	1	.05	+	19.01	7.50E-02	1.00E00
blood vessel endothelial cell differentiation (GO:0060837)	2	1	.05	+	19.01	7.50E-02	1.00E00
growth plate cartilage chondrocyte proliferation (GO:0003419)	2	1	.05	+	19.01	7.50E-02	1.00E00
cellular response to anisomycin (GO:0072740)	2	1	.05	+	19.01	7.50E-02	1.00E00
regulation of Wnt signaling pathway involved in heart development (GO:0003307)	2	1	.05	+	19.01	7.50E-02	1.00E00
fasciculation of motor neuron axon (GO:0097156)	2	1	.05	+	19.01	7.50E-02	1.00E00
epithelial fluid transport (GO:0042045)	2	1	.05	+	19.01	7.50E-02	1.00E00
proteasomal ubiquitin-independent protein catabolic process (GO:0010499)	2	1	.05	+	19.01	7.50E-02	1.00E00
neuroligin clustering involved in postsynaptic membrane assembly (GO:0097118)	4	2	.11	+	19.01	9.17E-03	7.13E-01
guanylate kinase-associated protein clustering (GO:0097117)	2	1	.05	+	19.01	7.50E-02	1.00E00
regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion (GO:0014809)	2	1	.05	+	19.01	7.50E-02	1.00E00
negative regulation of mitotic cell cycle, embryonic (GO:0045976)	2	1	.05	+	19.01	7.50E-02	1.00E00
epithelial cell differentiation involved in salivary gland development (GO:0060690)	2	1	.05	+	19.01	7.50E-02	1.00E00
negative regulation of metalloendopeptidase activity involved in amyloid precursor protein catabolic process (GO:1902963)	2	1	.05	+	19.01	7.50E-02	1.00E00
regulation of metalloendopeptidase activity involved in amyloid precursor protein catabolic process (GO:1902962)	2	1	.05	+	19.01	7.50E-02	1.00E00
negative regulation of adherens junction organization (GO:1903392)	2	1	.05	+	19.01	7.50E-02	1.00E00
vascular wound healing (GO:0061042)	2	1	.05	+	19.01	7.50E-02	1.00E00
chemorepulsion involved in interneuron migration from the subpallium to the cortex (GO:0021842)	2	1	.05	+	19.01	7.50E-02	1.00E00
directional guidance of interneurons involved in migration from the subpallium to the cortex (GO:0021840)	2	1	.05	+	19.01	7.50E-02	1.00E00
epithelial to mesenchymal transition involved in endocardial cushion formation (GO:0003198)	2	1	.05	+	19.01	7.50E-02	1.00E00
mammary placode formation (GO:0060596)	2	1	.05	+	19.01	7.50E-02	1.00E00
cellular chloride ion homeostasis (GO:0030644)	7	3	.18	+	16.29	1.75E-03	4.74E-01
cellular monovalent inorganic anion homeostasis (GO:0030320)	7	3	.18	+	16.29	1.75E-03	4.64E-01
regulation of lens fiber cell differentiation (GO:1902746)	5	2	.13	+	15.20	1.26E-02	8.43E-01
leukocyte migration involved in inflammatory response (GO:0002523)	5	2	.13	+	15.20	1.26E-02	8.39E-01
histone H3-K27 demethylation (GO:0071557)	5	2	.13	+	15.20	1.26E-02	8.35E-01
establishment of centrosome localization (GO:0051660)	5	2	.13	+	15.20	1.26E-02	8.30E-01
autophagosome membrane docking (GO:0016240)	5	2	.13	+	15.20	1.26E-02	8.26E-01
sympathetic ganglion development (GO:0061549)	5	2	.13	+	15.20	1.26E-02	8.22E-01
amino acid homeostasis (GO:0080144)	5	2	.13	+	15.20	1.26E-02	8.18E-01
cellular anion homeostasis (GO:0030002)	8	3	.21	+	14.25	2.36E-03	4.82E-01
establishment or maintenance of transmembrane electrochemical gradient (GO:0010248)	3	1	.08	+	12.67	9.87E-02	1.00E00
ammonium transmembrane transport (GO:0072488)	3	1	.08	+	12.67	9.87E-02	1.00E00
club cell differentiation (GO:0060486)	3	1	.08	+	12.67	9.87E-02	1.00E00
acrosomal vesicle exocytosis (GO:0060478)	3	1	.08	+	12.67	9.87E-02	1.00E00
lung vasculature development (GO:0060426)	3	1	.08	+	12.67	9.87E-02	1.00E00
regulation of cell-cell adhesion mediated by integrin (GO:0033632)	3	1	.08	+	12.67	9.87E-02	1.00E00
positive regulation of axon guidance (GO:1902669)	3	1	.08	+	12.67	9.87E-02	1.00E00
cardiac epithelial to mesenchymal transition (GO:0060317)	6	2	.16	+	12.67	1.65E-02	9.09E-01
histone H2B conserved C-terminal lysine ubiquitination (GO:0071894)	3	1	.08	+	12.67	9.87E-02	1.00E00
xenobiotic transmembrane transport (GO:0006855)	3	1	.08	+	12.67	9.87E-02	1.00E00
regulation of gamma-delta T cell differentiation (GO:0045586)	3	1	.08	+	12.67	9.87E-02	1.00E00
positive regulation of unsaturated fatty acid biosynthetic process (GO:2001280)	6	2	.16	+	12.67	1.65E-02	9.05E-01
negative regulation of osteoclast development (GO:2001205)	3	1	.08	+	12.67	9.87E-02	1.00E00
olfactory nerve development (GO:0021553)	3	1	.08	+	12.67	9.87E-02	1.00E00
protein localization to P-body (GO:0110012)	3	1	.08	+	12.67	9.87E-02	1.00E00
NK T cell differentiation (GO:0001865)	3	1	.08	+	12.67	9.87E-02	1.00E00
nephric duct morphogenesis (GO:0072178)	3	1	.08	+	12.67	9.87E-02	1.00E00
epithelial cell fate commitment (GO:0072148)	3	1	.08	+	12.67	9.87E-02	1.00E00
regulation of chemokine (C-C motif) ligand 5 production (GO:0071649)	3	1	.08	+	12.67	9.87E-02	1.00E00
viral protein processing (GO:0019082)	3	1	.08	+	12.67	9.87E-02	1.00E00
regulation of acrosome reaction (GO:0060046)	3	1	.08	+	12.67	9.87E-02	1.00E00
positive regulation of cellular pH reduction (GO:0032849)	3	1	.08	+	12.67	9.87E-02	1.00E00
ornithine metabolic process (GO:0006591)	3	1	.08	+	12.67	9.87E-02	1.00E00
ERBB4-ERBB4 signaling pathway (GO:0038138)	3	1	.08	+	12.67	9.87E-02	1.00E00
ERBB4 signaling pathway (GO:0038130)	3	1	.08	+	12.67	9.87E-02	1.00E00
positive regulation of retinal ganglion cell axon guidance (GO:1902336)	3	1	.08	+	12.67	9.87E-02	1.00E00
positive regulation of ATPase-coupled calcium transmembrane transporter activity (GO:1901896)	3	1	.08	+	12.67	9.87E-02	1.00E00
regulation of ATPase-coupled calcium transmembrane transporter activity (GO:1901894)	3	1	.08	+	12.67	9.87E-02	1.00E00
