




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	Micro-PVM All DE Genes.txt (Mus musculus)
Reference List:	Micro-PVM All Expressed Genes.txt (Mus musculus)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Micro-PVM All Expressed Genes.txt - REFLIST (4751)	Micro-PVM All DE Genes.txt (40)	Micro-PVM All DE Genes.txt (expected)	Micro-PVM All DE Genes.txt (over/under)	Micro-PVM All DE Genes.txt (fold Enrichment)	Micro-PVM All DE Genes.txt (raw P-value)	Micro-PVM All DE Genes.txt (FDR)
regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum (GO:0010880)	10	2	.08	+	23.75	4.26E-03	9.81E-01
ion transmembrane transport (GO:0034220)	167	4	1.41	+	2.84	5.28E-02	1.00E00
respiratory burst involved in defense response (GO:0002679)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
response to lead ion (GO:0010288)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of chronic inflammatory response (GO:0002677)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of chronic inflammatory response (GO:0002676)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of acute inflammatory response (GO:0002675)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of acute inflammatory response (GO:0002674)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of acute inflammatory response (GO:0002673)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
carbohydrate transmembrane transport (GO:0034219)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
protein hexamerization (GO:0034214)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of T cell anergy (GO:0002669)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of T cell anergy (GO:0002668)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of T cell anergy (GO:0002667)	5	1	.04	+	23.75	4.91E-02	1.00E00
positive regulation of T cell tolerance induction (GO:0002666)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of T cell tolerance induction (GO:0002665)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of T cell tolerance induction (GO:0002664)	6	1	.05	+	19.80	5.70E-02	1.00E00
detoxification of copper ion (GO:0010273)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of B cell tolerance induction (GO:0002663)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to silver ion (GO:0010272)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of B cell tolerance induction (GO:0002661)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
amyloid-beta formation (GO:0034205)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
lipid translocation (GO:0034204)	18	0	.15	-	 < 0.01	1.00E00	1.00E00
response to selenium ion (GO:0010269)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
SCF complex assembly (GO:0010265)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of tolerance induction dependent upon immune response (GO:0002652)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of tolerance induction to self antigen (GO:0002651)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of intestinal cholesterol absorption (GO:0045797)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell volume (GO:0045795)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell volume (GO:0045794)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell size (GO:0045793)	5	1	.04	+	23.75	4.91E-02	1.00E00
negative regulation of cell size (GO:0045792)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
multicellular organism aging (GO:0010259)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of tolerance induction to self antigen (GO:0002649)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NADH dehydrogenase complex assembly (GO:0010257)	18	0	.15	-	 < 0.01	1.00E00	1.00E00
endomembrane system organization (GO:0010256)	197	0	1.66	-	 < 0.01	4.11E-01	1.00E00
glucose mediated signaling pathway (GO:0010255)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of tolerance induction (GO:0002645)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of tolerance induction (GO:0002644)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of tolerance induction (GO:0002643)	9	1	.08	+	13.20	8.05E-02	1.00E00
positive regulation of cell cycle (GO:0045787)	118	0	.99	-	 < 0.01	6.26E-01	1.00E00
negative regulation of cell cycle (GO:0045786)	103	1	.87	+	1.15	5.86E-01	1.00E00
positive regulation of cell adhesion (GO:0045785)	171	4	1.44	+	2.78	5.66E-02	1.00E00
positive regulation of bone resorption (GO:0045780)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of immunoglobulin production (GO:0002639)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
establishment or maintenance of transmembrane electrochemical gradient (GO:0010248)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of immunoglobulin production (GO:0002638)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of immunoglobulin production (GO:0002637)	25	0	.21	-	 < 0.01	1.00E00	1.00E00
negative regulation of germinal center formation (GO:0002635)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of germinal center formation (GO:0002634)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
response to organonitrogen compound (GO:0010243)	299	3	2.52	+	1.19	7.38E-01	1.00E00
negative regulation of bone resorption (GO:0045779)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of ossification (GO:0045778)	25	0	.21	-	 < 0.01	1.00E00	1.00E00
positive regulation of blood pressure (GO:0045777)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
negative regulation of blood pressure (GO:0045776)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of axon extension (GO:0045773)	23	0	.19	-	 < 0.01	1.00E00	1.00E00
negative regulation of T cell antigen processing and presentation (GO:0002626)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of T cell antigen processing and presentation (GO:0002625)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
vascular transport (GO:0010232)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of angiogenesis (GO:0045766)	50	1	.42	+	2.38	3.49E-01	1.00E00
regulation of angiogenesis (GO:0045765)	82	2	.69	+	2.90	1.55E-01	1.00E00
positive regulation of cellular amino acid metabolic process (GO:0045764)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of adenylate cyclase activity (GO:0045762)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of adenylate cyclase activity (GO:0045761)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
positive regulation of action potential (GO:0045760)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
response to lithium ion (GO:0010226)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
response to UV-C (GO:0010225)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
response to UV-B (GO:0010224)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of action potential (GO:0045759)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
maintenance of DNA methylation (GO:0010216)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of dendritic cell antigen processing and presentation (GO:0002606)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of dendritic cell antigen processing and presentation (GO:0002605)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of dendritic cell antigen processing and presentation (GO:0002604)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
response to ionizing radiation (GO:0010212)	41	0	.35	-	 < 0.01	1.00E00	1.00E00
regulation of hexokinase activity (GO:1903299)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway (GO:1903298)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of hypoxia-induced intrinsic apoptotic signaling pathway (GO:1903297)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of Notch signaling pathway (GO:0045747)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
positive regulation of glutamate secretion, neurotransmission (GO:1903296)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of Notch signaling pathway (GO:0045746)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of G protein-coupled receptor signaling pathway (GO:0045745)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of glutamate secretion, neurotransmission (GO:1903294)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of G protein-coupled receptor signaling pathway (GO:0045744)	21	1	.18	+	5.66	1.69E-01	1.00E00
positive regulation of fibroblast growth factor receptor signaling pathway (GO:0045743)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
protein localization to Golgi membrane (GO:1903292)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of epidermal growth factor receptor signaling pathway (GO:0045742)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of epidermal growth factor-activated receptor activity (GO:0045741)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA replication (GO:0045740)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA repair (GO:0045739)	63	0	.53	-	 < 0.01	1.00E00	1.00E00
positive regulation of potassium ion import across plasma membrane (GO:1903288)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of DNA repair (GO:0045738)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045737)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of potassium ion import (GO:1903286)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045736)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein catabolic process (GO:0045732)	91	0	.77	-	 < 0.01	1.00E00	1.00E00
positive regulation of calcium:sodium antiporter activity (GO:1903281)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of calcium:sodium antiporter activity (GO:1903280)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
respiratory burst (GO:0045730)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
response to glucagon (GO:0033762)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cerebral cortex radially oriented cell migration (GO:0021799)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
forebrain dorsal/ventral pattern formation (GO:0021798)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cerebral cortex regionalization (GO:0021796)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cerebral cortex cell migration (GO:0021795)	25	0	.21	-	 < 0.01	1.00E00	1.00E00
thalamus development (GO:0021794)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
chemorepulsion of branchiomotor axon (GO:0021793)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of calcium:sodium antiporter activity (GO:1903279)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of sodium ion export across plasma membrane (GO:1903278)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
respiratory burst after phagocytosis (GO:0045728)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of translation (GO:0045727)	61	0	.51	-	 < 0.01	1.00E00	1.00E00
regulation of sodium ion export across plasma membrane (GO:1903276)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of glycogen biosynthetic process (GO:0045725)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of cilium assembly (GO:0045724)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of fatty acid biosynthetic process (GO:0045723)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of gluconeogenesis (GO:0045722)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of gluconeogenesis (GO:0045721)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of integrin biosynthetic process (GO:0045720)	1	1	.01	+	 > 100	1.66E-02	1.00E00
ribosome localization (GO:0033750)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
branchiomotor neuron axon guidance (GO:0021785)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
postganglionic parasympathetic fiber development (GO:0021784)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
preganglionic parasympathetic fiber development (GO:0021783)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
glial cell development (GO:0021782)	47	1	.40	+	2.53	3.33E-01	1.00E00
glial cell fate commitment (GO:0021781)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of glycogen biosynthetic process (GO:0045719)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of fatty acid biosynthetic process (GO:0045717)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of tumor necrosis factor-mediated signaling pathway (GO:1903265)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
smoothened signaling pathway involved in spinal cord motor neuron cell fate specification (GO:0021776)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
smoothened signaling pathway involved in ventral spinal cord interneuron specification (GO:0021775)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
striatal medium spiny neuron differentiation (GO:0021773)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
olfactory bulb development (GO:0021772)	14	1	.12	+	8.48	1.18E-01	1.00E00
mesoderm development (GO:0007498)	30	0	.25	-	 < 0.01	1.00E00	1.00E00
multi-ciliated epithelial cell differentiation (GO:1903251)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
midgut development (GO:0007494)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endoderm development (GO:0007492)	23	0	.19	-	 < 0.01	1.00E00	1.00E00
orbitofrontal cortex development (GO:0021769)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mammillary body development (GO:0021767)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hippocampus development (GO:0021766)	28	1	.24	+	4.24	2.16E-01	1.00E00
amygdala development (GO:0021764)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
limbic system development (GO:0021761)	38	1	.32	+	3.13	2.80E-01	1.00E00
L-cysteine catabolic process to taurine (GO:0019452)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of cardiac muscle hypertrophy in response to stress (GO:1903244)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cardiac muscle hypertrophy in response to stress (GO:1903243)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac muscle hypertrophy in response to stress (GO:1903242)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
globus pallidus development (GO:0021759)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
striatum development (GO:0021756)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
facial nucleus development (GO:0021754)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pronephric nephron tubule development (GO:0039020)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
L-cysteine catabolic process to hypotaurine (GO:0019449)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
L-cysteine catabolic process (GO:0019448)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
vestibular nucleus development (GO:0021750)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of leukocyte tethering or rolling (GO:1903238)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of leukocyte tethering or rolling (GO:1903237)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of leukocyte tethering or rolling (GO:1903236)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of calcium ion-dependent exocytosis of neurotransmitter (GO:1903235)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of calcium ion-dependent exocytosis of neurotransmitter (GO:1903233)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
melanosome assembly (GO:1903232)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
pronephric nephron development (GO:0039019)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cochlear nucleus development (GO:0021747)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
hypoglossal nucleus development (GO:0021743)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
aromatic compound catabolic process (GO:0019439)	102	0	.86	-	 < 0.01	1.00E00	1.00E00
abducens nucleus development (GO:0021742)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
aromatic compound biosynthetic process (GO:0019438)	261	0	2.20	-	 < 0.01	1.69E-01	1.00E00
embryonic skeletal joint development (GO:0072498)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
principal sensory nucleus of trigeminal nerve development (GO:0021740)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mesenchymal stem cell differentiation (GO:0072497)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
triglyceride catabolic process (GO:0019433)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of endodermal cell differentiation (GO:1903226)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
triglyceride biosynthetic process (GO:0019432)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of endodermal cell differentiation (GO:1903224)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
removal of superoxide radicals (GO:0019430)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of oxidative stress-induced neuron death (GO:1903223)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
pronephric nephron tubule morphogenesis (GO:0039008)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pronephric nephron morphogenesis (GO:0039007)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phospholipid efflux (GO:0033700)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
ammonium transmembrane transport (GO:0072488)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA biosynthetic process from acetate (GO:0019427)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
trigeminal sensory nucleus development (GO:0021730)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of primary metabolic process (GO:0080090)	1802	9	15.17	-	.59	4.94E-02	1.00E00
regulation of protein targeting to mitochondrion (GO:1903214)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
podocyte apoptotic process (GO:1903210)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of the force of heart contraction by chemical signal (GO:0003099)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
renal sodium ion transport (GO:0003096)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glomerular filtration (GO:0003094)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of glomerular filtration (GO:0003093)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
renal water homeostasis (GO:0003091)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
superior olivary nucleus maturation (GO:0021722)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sulfide oxidation (GO:0019418)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of oxidative stress-induced cell death (GO:1903209)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of hydrogen peroxide-induced neuron death (GO:1903208)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of hydrogen peroxide-induced neuron death (GO:1903207)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
acetate biosynthetic process (GO:0019413)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of hydrogen peroxide-induced cell death (GO:1903206)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of hydrogen peroxide-induced cell death (GO:1903205)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
negative regulation of oxidative stress-induced neuron death (GO:1903204)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of oxidative stress-induced neuron death (GO:1903203)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
negative regulation of oxidative stress-induced cell death (GO:1903202)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of oxidative stress-induced cell death (GO:1903201)	33	0	.28	-	 < 0.01	1.00E00	1.00E00
hindgut morphogenesis (GO:0007442)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
foregut morphogenesis (GO:0007440)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of systemic arterial blood pressure (GO:0003085)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of systemic arterial blood pressure (GO:0003084)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of renal output by angiotensin (GO:0003083)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
superior olivary nucleus development (GO:0021718)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of systemic arterial blood pressure by renin-angiotensin (GO:0003081)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of behavioral fear response (GO:2000987)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
dolichol biosynthetic process (GO:0019408)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of behavioral fear response (GO:2000986)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
alditol metabolic process (GO:0019400)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
salivary gland morphogenesis (GO:0007435)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
cell-cell signaling involved in lung development (GO:0060495)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lung induction (GO:0060492)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
salivary gland development (GO:0007431)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of cell projection assembly (GO:0060491)	83	2	.70	+	2.86	1.58E-01	1.00E00
regulation of systemic arterial blood pressure (GO:0003073)	25	0	.21	-	 < 0.01	1.00E00	1.00E00
renal control of peripheral vascular resistance involved in regulation of systemic arterial blood pressure (GO:0003072)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cerebellar granule cell differentiation (GO:0021707)	5	1	.04	+	23.75	4.91E-02	1.00E00
renal system process involved in regulation of systemic arterial blood pressure (GO:0003071)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of forebrain neuron differentiation (GO:2000978)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cerebellar Purkinje cell differentiation (GO:0021702)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
